metric_id,target_field_id,authoritative_inputs,formula_id,formula_version,delivery_class,current_status,feasibility_reason,required_next_action,owner
account_equity_chart,account_equity_history,public.account_equity_snapshots,identity_series,v1,EXISTS_NOT_PUBLISHED,INDEX_BACKED_TIME_KEYSET_AVAILABLE_WITHOUT_PUBLISHED_SCOPE_CONTRACT,"the source is a periodic snapshot history, so it can back a chart only with restate, profile and cursor semantics explicit",E5_NAMED_SCOPE_CURSOR_AND_RESTATE_CONTRACT,trading_system_performance_owner
alpha_activity_rollup,alpha_activity,public.strategy_deployments|public.execution_sessions|public.orders|public.fills,alpha_activity_rollup,v1,EXISTS_NOT_PUBLISHED,TRADING_INPUTS_EXIST_PORTAL_ALPHA_MAPPING_MUST_BE_DECLARED,the Portal owns alpha identity; Trading-System joins must use its declared strategy/deployment mapping and never heuristic matching,E5_ALPHA_MAPPING_AND_BOUND_INPUT_READS,portal_execution_edge_owner
binding_exposure_verdict,venue_accounts,public.venue_accounts|public.positions_v2|public.order_pending_exposure,binding_exposure_verdict,v1,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_INPUTS_EXIST_WITHOUT_VERSIONED_POSITION_HISTORY,a current exposure verdict can be derived from declared binding and position inputs but must not claim historical exposure replay,E5_NAMED_INPUT_QUERY_PLANS_AND_CURRENT_STATE_CONTRACT,portal_execution_edge_owner
canary_live_fact_comparison,canary_drift,portal-control:profile-activation|manager-v2.envelope,canary_live_fact_comparison,v1,EXISTS_NOT_PUBLISHED,CURRENT_CANARY_GOVERNANCE_OVER_LIVE_FACTS_EXISTS,Canary has no fourth Trading-System profile and can only compare Portal control with the declared Live source profile,E5_TYPED_COMPARISON_CONTRACT,portal_execution_edge_owner
dead_letter_safe_summary,dead_letter_summary,public.dead_letters,dead_letter_safe_summary,v1,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,RAW_DEAD_LETTER_PAYLOAD_IS_UNSAFE,safe counts and metadata require a field allowlist; raw payload must never cross the boundary,E5_TYPED_REDACTION_ALLOWLIST,trading_system_operations_owner
deployment_execution_quality,execution_quality,public.execution_sessions|public.orders|public.fills,deployment_execution_quality,v1,EXISTS_NOT_PUBLISHED,INPUTS_EXIST_WITHOUT_NAMED_BOUND_QUERY_SHAPES,"declared session, order and fill identities can support a provenance-carrying rollup after source-local bounded reads are qualified",E5_NAMED_INPUT_QUERY_PLAN_AND_ORACLE,portal_execution_edge_owner
deterministic_order_trace,trade_replay,authoritative-change-journal:required,deterministic_order_trace,v1,OWNER_ACTION_REQUIRED,NO_GLOBAL_SEQUENCE_RETENTION_OR_CORRECTION_CONTRACT,current order and fill rows cannot be transformed honestly into causal replay,AUTHORITATIVE_CHANGE_JOURNAL,trading_system_event_owner
market_benchmark,market_candles,market-data:canonical-candle-history|market-data:benchmark-series,benchmark_from_declared_series,v1,OWNER_ACTION_REQUIRED,TYPED_CANDLE_AND_BENCHMARK_SOURCES_NOT_PUBLISHED_BY_TRADING_SYSTEM,"no benchmark identity, source clock or retained candle contract is proven in the Trading-System data surface",MARKET_DATA_TYPED_ADAPTER,trading_system_market_owner
portfolio_capital_contribution,portfolio_capital,public.portfolios|public.portfolio_allocations|public.portfolio_capital_ledger|public.account_reservations,portfolio_capital_contribution,v1,EXISTS_NOT_PUBLISHED,E2_EDGE_DERIVABLE_WITHOUT_PROFILE_SCOPED_PORTFOLIO_SNAPSHOT,exact ledger and allocation inputs exist; profile scope must be carried from declared account/deployment inputs rather than inferred from an unscoped portfolio snapshot,E5_BOUND_INPUT_READS_AND_FORMULA_ORACLE,portal_execution_edge_owner
source_health_envelope,source_health,manager-v2.envelope,source_health_envelope,v1,AVAILABLE_DERIVED_AT_PORTAL,CURRENT_SCREEN_ENVELOPE_AVAILABLE,uses only named envelope fields and does not infer source authority,NONE,portal_execution_edge_owner
