source_system,schema,relation,ordinal,column,data_type,nullable,has_default,generated,identity,semantic_disposition,sensitivity,scope_dimensions,is_time_bearing,time_classification,time_unit_or_precision,timezone_semantics
trading_system_postgresql,portal_command,operations,1,operation_id,uuid,false,true,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,2,capability_id,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,3,target_type,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,4,target_id,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,5,expected_version,text,true,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,6,idempotency_scope,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,7,idempotency_key,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,NON_SECRET_METADATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,8,request_hash,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,MAY_CONTAIN_SENSITIVE_STRUCTURED_DATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,9,payload_hash,text,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,MAY_CONTAIN_SENSITIVE_STRUCTURED_DATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
trading_system_postgresql,portal_command,operations,10,request_payload,jsonb,false,false,false,false,NAME_AND_TYPE_INFERRED_E2_REQUIRED,MAY_CONTAIN_SENSITIVE_STRUCTURED_DATA,,false,NOT_TIME_BEARING,NOT_APPLICABLE,NOT_APPLICABLE
