screen_id,panel_id,frontend_field_path,visible_meaning,required_or_optional,source_system,source_relation_or_operation,source_columns,primary_resource_key,join_path,authority,mutability,delivery_class,history_requirement,freshness_requirement,formula_id,formula_version,currency_policy,timestamp_policy,edge_operation,portal_derivation_allowed,current_status,missing_reason,owner,capability_id
EXECUTION_ACCOUNT_BROKER_360_SCREEN,account_balances,data.account_balances,"current total, locked and free cash by account currency",REQUIRED,TRADING_SYSTEM,public.account_balances,account_id|currency|total|locked|free|updated_at,"account_id,currency",DECLARED_ACCOUNT_ID_FOREIGN_KEY,CANONICAL_ACCOUNT_BALANCE_CURRENT_STATE,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_BALANCE_NOT_LEDGER_HISTORY,NAMED_ACCOUNT_AND_CURRENCY_KEYSET_READ,NONE,NONE,EXACT_DECIMAL_WITH_SOURCE_CURRENCY,E4_UTC_EPOCH_MS:updated_at_ms,maximumDataAccountBalancePageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_ACCOUNT_SCOPE_QUERY_PLAN_REQUIRED,trading_system_read_path_owner,accounts.current
EXECUTION_ACCOUNT_BROKER_360_SCREEN,account_sync,data.account_sync,effective account synchronization status and buying power,REQUIRED,TRADING_SYSTEM,public.account_sync_current_state,sync_id|account_id|mode|venue|source|status|buying_power|currency|synced_at|created_at,sync_id,DECLARED_ACCOUNT_ID_FOREIGN_KEY,DECLARED_SYNC_PROJECTION,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_SYNC_STATE_NOT_SYNC_HISTORY,NAMED_ACCOUNT_PROFILE_KEYSET_READ,NONE,NONE,EXACT_DECIMAL_BUYING_POWER_WITH_SOURCE_CURRENCY,"E4_UTC_EPOCH_MS:synced_at_ms,created_at_ms",maximumDataAccountSyncPageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_ACCOUNT_SCOPE_QUERY_PLAN_REQUIRED,trading_system_read_path_owner,accounts.current
EXECUTION_ACCOUNT_BROKER_360_SCREEN,accounts,data.accounts,canonical account identity and current profile binding,REQUIRED,TRADING_SYSTEM,public.accounts,account_id|trader_id|strategy_id|mode|venue|account_type|base_currency|external_account_ref|active|created_at|updated_at,account_id,ACCOUNT_ID_IS_DECLARED_ACCOUNT_SPINE,CANONICAL_ACCOUNT_ROWS,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_ACCOUNT_STATE_ONLY,NAMED_PROFILE_AND_ACCOUNT_KEYSET_READ,NONE,NONE,BASE_CURRENCY_SCOPE_ATTRIBUTE,"E4_UTC_EPOCH_MS:created_at_ms,updated_at_ms",maximumDataAccountPageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_ACCOUNT_SCOPE_QUERY_PLAN_REQUIRED,trading_system_read_path_owner,accounts.current
EXECUTION_ACCOUNT_BROKER_360_SCREEN,broker_sync,data.broker_sync,effective broker synchronization status and buying power,REQUIRED,TRADING_SYSTEM,public.broker_account_sync_current_state,sync_id|external_account_ref|mode|venue|source|status|buying_power|currency|synced_at|created_at,sync_id,DECLARED_EXTERNAL_ACCOUNT_REFERENCE_AND_PROFILE_COLUMNS,DECLARED_BROKER_SYNC_PROJECTION,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_SYNC_STATE_NOT_SYNC_HISTORY,NAMED_ACCOUNT_PROFILE_KEYSET_READ,NONE,NONE,EXACT_DECIMAL_BUYING_POWER_WITH_SOURCE_CURRENCY,"E4_UTC_EPOCH_MS:synced_at_ms,created_at_ms",maximumDataBrokerSyncPageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_ACCOUNT_SCOPE_QUERY_PLAN_REQUIRED,trading_system_read_path_owner,accounts.current
EXECUTION_ACCOUNT_BROKER_360_SCREEN,margin_balances,data.margin_balances,current initial and maintenance margin by account and instrument,REQUIRED,TRADING_SYSTEM,public.margin_balances,account_id|instrument_id|currency|initial|maintenance|updated_at,"account_id,instrument_id,currency",DECLARED_ACCOUNT_AND_INSTRUMENT_COLUMNS,CANONICAL_MARGIN_CURRENT_STATE,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_MARGIN_NOT_LEDGER_HISTORY,NAMED_ACCOUNT_AND_INSTRUMENT_KEYSET_READ,NONE,NONE,EXACT_DECIMAL_WITH_SOURCE_CURRENCY,E4_UTC_EPOCH_MS:updated_at_ms,maximumDataMarginBalancePageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_ACCOUNT_SCOPE_QUERY_PLAN_REQUIRED,trading_system_read_path_owner,accounts.current
EXECUTION_ACCOUNT_BROKER_360_SCREEN,positions,data.positions,"current position quantity, mark, PnL and exposure by declared scope",REQUIRED,TRADING_SYSTEM,public.positions_v2,position_id|strategy_id|account_id|mode|venue|instrument_id|side|signed_qty|quantity|avg_px_open|avg_px_close|realized_pnl|unrealized_pnl|mark_price|mark_price_at|notional|updated_at,position_id,DECLARED_POSITION_TO_STRATEGY_ACCOUNT_AND_INSTRUMENT_COLUMNS,CANONICAL_POSITION_CURRENT_STATE,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_STATE_ONLY_NO_POSITION_VERSION_HISTORY,NAMED_PROFILE_AND_RESOURCE_KEYSET_READ,NONE,NONE,EXACT_DECIMAL_VALUES_REQUIRE_EXPLICIT_CURRENCY_AND_MARK_LINEAGE,"E4_UTC_EPOCH_MS:opened_at_ms,closed_at_ms,updated_at_ms,mark_price_at_ms",maximumDataPositionPageV1,false,E2_CURRENT_STATE_ONLY_AND_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_SCOPE_QUERY_PLAN_AND_MARK_PROVENANCE_REQUIRED,trading_system_read_path_owner,deployments.positions
EXECUTION_ACCOUNT_BROKER_360_SCREEN,reconciliation,data.reconciliation_findings,current reconciliation finding lifecycle and severity,REQUIRED,TRADING_SYSTEM,public.reconciliation_findings,finding_id|account_id|strategy_id|execution_session_id|mode|venue|finding_type|severity|status|created_at|resolved_at,finding_id,DECLARED_FINDING_TO_ACCOUNT_STRATEGY_AND_SESSION_COLUMNS,OPERATIONAL_AUDIT,MUTABLE_FINDING_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_LIFECYCLE_WITHOUT_IMMUTABLE_ACK_EVIDENCE,NAMED_PROFILE_AND_FINDING_KEYSET_READ,NONE,NONE,NOT_APPLICABLE,"E4_UTC_EPOCH_MS:created_at_ms,resolved_at_ms",maximumDataReconciliationFindingPageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_SCOPE_QUERY_PLAN_AND_ACK_EVIDENCE_REQUIRED,trading_system_read_path_owner,reconciliation.current
EXECUTION_ACCOUNT_BROKER_360_SCREEN,source_health,source_health,"bounded source freshness, completeness and read lineage for this screen",REQUIRED,PORTAL_EDGE,manager-v2.envelope,as_of|read_at|freshness|completeness|trace_id,profile_id,DIRECT_ENVELOPE_BOUND_TO_NAMED_SCREEN_OPERATION,TRADING_SYSTEM,OBSERVATION_AT_READ_TIME,AVAILABLE_DERIVED_AT_PORTAL,CURRENT_OBSERVATION_ONLY,RETURN_SOURCE_FRESHNESS_AND_AS_OF,source_health_envelope,v1,NOT_APPLICABLE,"E4_UTC_EPOCH_MS:as_of_ms,read_at_ms",maximumDataSourceHealthV1,true,EXISTING_SCREEN_ENVELOPE_COMPOSES_NAMED_SOURCE_STATUS,NOT_APPLICABLE,portal_execution_edge_owner,metadata.source-health
EXECUTION_ACCOUNT_BROKER_360_SCREEN,venue_accounts,data.venue_accounts,declared account-to-venue binding population,REQUIRED,TRADING_SYSTEM,public.venue_accounts,venue_account_id|binding_id|account_id|mode|venue|state|status|active|created_at|updated_at,venue_account_id,DECLARED_BINDING_ID_AND_ACCOUNT_ID_FOREIGN_KEYS,CANONICAL_ACCOUNT_BINDING_ROWS,MUTABLE_CURRENT_STATE,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,CURRENT_BINDING_STATE_ONLY,NAMED_ACCOUNT_AND_BINDING_KEYSET_READ,NONE,NONE,NOT_APPLICABLE,"E4_UTC_EPOCH_MS:created_at_ms,updated_at_ms",maximumDataVenueAccountPageV1,false,E2_SEQUENTIAL_SHAPE_UNQUALIFIED,E5_NAMED_BINDING_SCOPE_QUERY_PLAN_REQUIRED,trading_system_read_path_owner,bindings.snapshot
EXECUTION_ADMIN_ACTION_DRAWER_SCREEN,activation,data.activation,Portal-owned requested-versus-enabled profile activation state,REQUIRED,PORTAL_CONTROL,portal-control:profile-activation,profile_id|requested_state|effective_state|updated_at,profile_id,PORTAL_CONTROL_PROFILE_BINDING,PORTAL_CONTROL,PORTAL_WORKFLOW_CURRENT_STATE,AVAILABLE_DIRECT,CURRENT_CONTROL_STATE_ONLY,CONTROL_API_TRANSACTIONAL_READ,NONE,NONE,NOT_APPLICABLE,E4_UTC_EPOCH_MS:updated_at_ms,maximumDataProfileActivationV1,false,CURRENT_PORTAL_BFF_AVAILABLE,NOT_APPLICABLE,portal_control_owner,portal.activation
