source_system,schema,relation,kind,database_owner_fingerprint_sha256,owner_service,data_class,source_file,baseline_status,authority_disposition,mutability_disposition,access_status,schema_usage_granted,select_granted,stable_key_status,primary_key_columns,unique_key_columns,keyset_status,ordering_disposition,scope_dimensions,time_column_count,foreign_key_count,total_bytes,estimated_rows,estimated_rows_source,stats_live_rows,stats_dead_rows,last_analyze_utc,last_autoanalyze_utc,persistence,is_partition,has_subclass,freshness_disposition,retention_disposition,change_semantics_disposition,publication_disposition,portal_usefulness,empty_semantics,sensitivity_summary
trading_system_postgresql,portal_command,operations,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,portal_execution_owner,DURABLE_COMMAND,DEPLOYED_RUNTIME_EVIDENCE:46-portal-command-paper-r1.sql,DEPLOYED_RUNTIME_OVERLAY_MATCHED,AUTHORITY_E2_REQUIRED,LEDGER_OR_OUTBOX_MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,operation_id,idempotency_scope|idempotency_key,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,,4,0,114688,4,PG_CLASS_RELTUPLES_ESTIMATE,4,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,MAY_CONTAIN_SENSITIVE_STRUCTURED_DATA|NON_SECRET_METADATA
trading_system_postgresql,portal_command,paper_target_allowlist,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,portal_execution_owner,DURABLE_COMMAND,DEPLOYED_RUNTIME_EVIDENCE:46-portal-command-paper-r1.sql,DEPLOYED_RUNTIME_OVERLAY_MATCHED,AUTHORITY_E2_REQUIRED,LEDGER_OR_OUTBOX_MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,target_type|target_id,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,profile,1,0,65536,1,PG_CLASS_RELTUPLES_ESTIMATE,1,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
trading_system_postgresql,public,account_balances,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,domain_core,CANONICAL_TRADING,05-trading-core-v2.sql,BASELINE_MATCHED,EXECUTION_CANDIDATE_E2_REQUIRED,MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,account_id|currency,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account,1,1,65536,85,PG_CLASS_RELTUPLES_ESTIMATE,85,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
trading_system_postgresql,public,account_equity_snapshots,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,performance,DERIVED_HISTORY,10-performance.sql,BASELINE_MATCHED,ACCOUNTING_OR_PERFORMANCE_CANDIDATE_E2_REQUIRED,HISTORY_OR_SNAPSHOT_MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,id|ts,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account|deployment|mode|strategy|venue,2,4,65536,0,PG_CLASS_RELTUPLES_ESTIMATE,0,0,,,permanent,false,true,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
trading_system_postgresql,public,account_policies,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,portfolio_management,CANONICAL_ACCOUNTING,11-portfolio-management.sql,BASELINE_MATCHED,ACCOUNTING_OR_PERFORMANCE_CANDIDATE_E2_REQUIRED,MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,account_policy_id,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account|mode|venue,3,2,122880,85,PG_CLASS_RELTUPLES_ESTIMATE,85,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,MAY_CONTAIN_SENSITIVE_STRUCTURED_DATA|NON_SECRET_METADATA
trading_system_postgresql,public,account_reservations,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,portfolio_management,CANONICAL_ACCOUNTING,11-portfolio-management.sql,BASELINE_MATCHED,ACCOUNTING_OR_PERFORMANCE_CANDIDATE_E2_REQUIRED,MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,reservation_id,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account|instrument|mode|strategy|venue,2,3,32768,0,PG_CLASS_RELTUPLES_ESTIMATE,0,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,MAY_CONTAIN_SENSITIVE_STRUCTURED_DATA|NON_SECRET_METADATA
trading_system_postgresql,public,account_sync_current_state,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,domain_projection,CANONICAL_PROJECTION,35-canonical-domain-projections.sql,BASELINE_MATCHED,AUTHORITY_E2_REQUIRED,MUTABLE_CURRENT_PROJECTION_CANDIDATE_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,account_id,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account|mode|venue,3,2,32768,0,PG_CLASS_RELTUPLES_ESTIMATE,0,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
trading_system_postgresql,public,account_sync_effective,VIEW,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,domain_projection,CANONICAL_PROJECTION,35-canonical-domain-projections.sql,BASELINE_MATCHED,DERIVED_READ_MODEL_CANDIDATE_E2_REQUIRED,DERIVED_VIEW_OR_SNAPSHOT_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,NO_DECLARED_STABLE_KEY_E2_REQUIRED,,,NO_SAFE_KEYSET_CANDIDATE_E2_REQUIRED,ORDERING_E2_REQUIRED,account|mode|venue,2,0,0,-1,PG_CLASS_RELTUPLES_ESTIMATE,0,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
trading_system_postgresql,public,account_sync_snapshots,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,portfolio_management,CANONICAL_ACCOUNTING,11-portfolio-management.sql,BASELINE_MATCHED,ACCOUNTING_OR_PERFORMANCE_CANDIDATE_E2_REQUIRED,MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,sync_id,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account|mode|venue,3,2,32768,0,PG_CLASS_RELTUPLES_ESTIMATE,0,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
trading_system_postgresql,public,accounts,TABLE,69ff8042237aeef5ddf1ced10e851bc6104e1ebb15a304061dba43ea10106fa9,domain_core,CANONICAL_TRADING,05-trading-core-v2.sql,BASELINE_MATCHED,EXECUTION_CANDIDATE_E2_REQUIRED,MUTABILITY_E2_REQUIRED,METADATA_READABLE_WITH_SELECT,true,true,PRIMARY_KEY_DECLARED,account_id,,PRIMARY_KEY_KEYSET_CANDIDATE,TIMESTAMP_PLUS_STABLE_KEY_CANDIDATE_E2_REQUIRED,account|mode|strategy|venue,2,3,114688,86,PG_CLASS_RELTUPLES_ESTIMATE,86,0,,,permanent,false,false,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,E2_REQUIRED_NO_DML_OR_ROW_HISTORY_PROBE,EXISTING_PUBLICATION_RECHECK_REQUIRED,CANDIDATE_FOR_TYPED_PORTAL_CONTRACT,NOT_QUERIED_E1_NO_BUSINESS_ROW_ACCESS,NON_SECRET_METADATA
