screen_id,action_id,capability_id,action_kind,required_resource_identity,source_preconditions,current_availability,disabled_reason,plan_apply_verify_contract,terminal_evidence_target,owner
EXECUTION_ADMIN_ACTION_DRAWER_SCREEN,command.apply,command.apply,TRADING_SYSTEM_COMMAND,workspace_id|operation_id|idempotency_key|profile_id|resource_id|plan_digest,separate_command_identity|mTLS_and_delegated_JWT|accepted_plan_digest|approved_command_catalogue|paper_target_isolated,DISABLED,COMMAND_PORT_NOT_ACTIVATED_FOR_PORTAL,trading-system.portal-command-r1:plan-apply-verify,public.command_journal:command_id,trading_system_command_owner
EXECUTION_ADMIN_ACTION_DRAWER_SCREEN,command.plan,command.plan,TRADING_SYSTEM_COMMAND,workspace_id|operation_id|idempotency_key|profile_id|resource_id,separate_command_identity|mTLS_and_delegated_JWT|approved_command_catalogue|paper_target_isolated,DISABLED,COMMAND_PORT_NOT_ACTIVATED_FOR_PORTAL,trading-system.portal-command-r1:plan-apply-verify,public.command_journal:command_id,trading_system_command_owner
EXECUTION_CANARY_CONTROL_ROOM_SCREEN,canary.promote,command.apply,TRADING_SYSTEM_COMMAND,workspace_id|deployment_id|profile_id|idempotency_key|plan_digest,separate_command_identity|approved_live_gate|declared_canary_to_live_binding|accepted_plan_digest,DISABLED,CANARY_PROMOTION_COMMAND_NOT_ACTIVATED,trading-system.portal-command-r1:plan-apply-verify,public.command_journal:command_id,trading_system_command_owner
EXECUTION_CANARY_CONTROL_ROOM_SCREEN,canary.rollback,command.apply,TRADING_SYSTEM_COMMAND,workspace_id|deployment_id|profile_id|idempotency_key|plan_digest,separate_command_identity|approved_rollback_policy|accepted_plan_digest,DISABLED,CANARY_ROLLBACK_COMMAND_NOT_ACTIVATED,trading-system.portal-command-r1:plan-apply-verify,public.command_journal:command_id,trading_system_command_owner
EXECUTION_FULL_BLOTTER_SCREEN,trade_replay.launch,e3.trade-replay,TRADING_SYSTEM_COMMAND,workspace_id|order_id_or_trace_id|profile_id|requested_range,authoritative_change_journal|global_sequence|retention_floor|correction_semantics|separate_command_identity_if_job_creation_required,OWNER_ACTION_REQUIRED,AUTHORITATIVE_REPLAY_EVENT_CONTRACT_NOT_PUBLISHED,trading-system.portal-execution.incremental-events.v2:required,authoritative-change-journal:event_id,trading_system_event_owner
EXECUTION_GATE_LIVE_REVIEW_SCREEN,approval.review.live,portal.governance,PORTAL_WORKFLOW,workspace_id|approval_id,approval_exists|live_gate_policy_valid|profile_scope_declared,AVAILABLE,NOT_APPLICABLE,portal-control:approval-review-live-v1,portal-control:approval-review-evidence,portal_control_owner
EXECUTION_GATE_R1_REVIEW_SCREEN,approval.review.r1,portal.governance,PORTAL_WORKFLOW,workspace_id|approval_id,approval_exists|r1_evidence_policy_valid,AVAILABLE,NOT_APPLICABLE,portal-control:approval-review-r1-v1,portal-control:approval-review-evidence,portal_control_owner
EXECUTION_GATE_R2_REVIEW_SCREEN,approval.review.r2,portal.governance,PORTAL_WORKFLOW,workspace_id|approval_id,approval_exists|r2_evidence_policy_valid|typed_risk_evidence_present_or_explicitly_unavailable,AVAILABLE,NOT_APPLICABLE,portal-control:approval-review-r2-v1,portal-control:approval-review-evidence,portal_control_owner
EXECUTION_LIVE_FULL_OPERATIONS_SCREEN,live.kill_switch,command.apply,TRADING_SYSTEM_COMMAND,workspace_id|deployment_id|profile_id|idempotency_key|plan_digest,separate_command_identity|live_change_window|approved_kill_switch_policy|accepted_plan_digest,DISABLED,LIVE_COMMAND_ACTIVATION_NOT_AUTHORIZED,trading-system.portal-command-r1:plan-apply-verify,public.command_journal:command_id,trading_system_command_owner
EXECUTION_NEW_APPROVAL_REQUEST_SCREEN,approval.create,portal.governance,PORTAL_WORKFLOW,workspace_id|approval_request_id,portal_role_authorized|portal_governance_policy_valid,AVAILABLE,NOT_APPLICABLE,portal-control:approval-create-v1,portal-control:approval-record,portal_control_owner
EXECUTION_OPERATIONS_QUEUE_SCREEN,incident.acknowledge,reconciliation.current,TRADING_SYSTEM_COMMAND,workspace_id|finding_id|idempotency_key,separate_command_identity|typed_ack_actor_and_time_evidence,OWNER_ACTION_REQUIRED,RECONCILIATION_ACK_EVIDENCE_NOT_PROVEN,typed-reconciliation-ack-command:required,typed-reconciliation-ack-evidence:required,trading_system_operations_owner
EXECUTION_WAIVERS_REGISTER_SCREEN,conditions.waiver.record,portal.governance,PORTAL_WORKFLOW,workspace_id|condition_id|waiver_id,condition_exists|waiver_policy_valid|expiry_declared,AVAILABLE,NOT_APPLICABLE,portal-control:conditions-waiver-v1,portal-control:condition-waiver-record,portal_control_owner
