work_order_id,field_ids,source_operation,resource_identity,continuation_policy,portal_storage_reducer,empty_stale_gap_semantics,delivery_class,required_next_action,owner
E4_AUTHORITATIVE_EVENT_JOURNAL,trade_replay,maximumDataTradeReplayV1,stream_id plus event_id/source_sequence and declared causal identities,snapshot high watermark plus durable tail resume only after source-owned global sequence and retention floor exist,event append/dedupe by event_id with typed correction/delete and resnapshot behavior,current rows cannot be relabeled as replay; gap requires typed resnapshot,OWNER_ACTION_REQUIRED,"publish authoritative change journal with global sequence, retention, correction and coverage",trading_system_event_owner
E5_ACCOUNT_BINDING_CURRENT_READ,account_current|account_balances|margin_balances|account_sync|broker_sync|venue_accounts,maximumDataAccountPageV1+maximumDataAccountBalancePageV1+maximumDataMarginBalancePageV1+maximumDataAccountSyncPageV1+maximumDataBrokerSyncPageV1+maximumDataVenueAccountPageV1,profile_id plus account_id/binding_id/venue_account_id and source currency or instrument key,opaque named keyset continuation; bounded current-state pages; max upstream page 200 rows and 1 MiB,current-state upsert by declared source composite key with account-parent integrity check,"empty means no currently recorded balance, margin, sync or binding row; never infer zero or absent account",EXISTS_BUT_NOT_SAFE_TO_EXPOSE,qualify named account/binding query plans and publish exact-decimal DTOs,trading_system_read_path_owner
E5_ALPHA_ACTIVITY_DERIVATION,alpha_activity|execution_quality,maximumDataAlphaActivityV1+maximumDataDeploymentExecutionQualityV1,Portal alpha_id mapped explicitly to declared Trading-System strategy/deployment identities,bounded named source reads; no heuristic alpha-to-order matching,derived view keyed by alpha_id with source lineage and formula revision,empty means no observed activity; partial/stale input propagates to the derived result,EXISTS_NOT_PUBLISHED,freeze Portal alpha mapping and source-local derivation oracle,portal_execution_edge_owner
E5_CANARY_DRIFT_CONTRACT,canary_drift,maximumDataCanaryDriftV1,deployment_id plus declared Canary governance and Live source-profile binding,current comparison only; no fourth Trading-System profile and no event drift history claim,current comparison upsert with both source timestamps and profile lineage,missing control or source facts remains typed partial/unavailable,EXISTS_NOT_PUBLISHED,freeze comparison DTO and all input source contracts,portal_execution_edge_owner
E5_COMMAND_TERMINAL_EVIDENCE_READ,command_journal,maximumDataCommandJournalPageV1,profile_id plus command_id or accepted-at keyset,opaque named keyset continuation; max upstream page 200 rows and 1 MiB,append terminal metadata by command_id with terminal evidence reference only,empty means no recorded command; it does not prove command authorization or successful execution,EXISTS_NOT_PUBLISHED,freeze field allowlist and named command-scope DTO before publication,trading_system_command_owner
E5_DEPLOYMENT_POSITION_SESSION_READ,deployment_current|position_current|session_current,maximumDataDeploymentPageV1+maximumDataPositionPageV1+maximumDataExecutionSessionPageV1,profile_id plus deployment_id/account_id/strategy_id as declared by the source relation,opaque named keyset continuation; no total-history cap; max upstream page 200 rows and 1 MiB,current-state upsert by source primary key with profile lineage,empty means no recorded current row; stale or unavailable must remain visible; no event gap claim,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,qualify named profile/resource query plans and publish typed current-state DTOs,trading_system_read_path_owner
E5_INSTRUMENT_MASTER_READ,instrument_master,maximumDataInstrumentMasterPageV1,venue plus instrument_id,opaque named keyset continuation for reference data,current reference upsert by instrument_id with source revision,empty means no recorded instrument master row; no symbol heuristic fallback,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,qualify named instrument query plan and exact-decimal metadata DTO,trading_system_read_path_owner
E5_MARKET_CONTEXT_ADAPTER,market_candles|market_latest|venue_calendar|vnm_constraints,maximumDataMarketCandleHistoryV1+maximumDataMarketLatestV1+maximumDataVenueCalendarV1+maximumDataVnmConstraintsV1,"venue, instrument_id, interval or effective session/constraint key",source-owned bounded history continuation and current observation cadence,append candles by venue/instrument/interval/open time; current latest by observation key; effective-dated calendar and constraint views,source absence remains explicit and does not become zero market data or a synthetic venue session,OWNER_ACTION_REQUIRED,"adapt typed Data Layer or market-service capabilities with clock, completeness and revision semantics",trading_system_market_owner
E5_ORDER_FILL_CONDITIONAL_READ,order_current|fill_history|conditional_legs,maximumDataOrderPageV1+maximumDataFillPageV1+maximumDataConditionalOrderLegsV1,profile_id plus order_id/group_id or declared time-keyset scope,opaque named keyset continuation; fill range traverses all retained rows; no replay claim,orders current-state upsert; fills append by fill_id; conditional structure current-state upsert,empty means no recorded relation rows; correction and event gap remain typed unavailable until source journal exists,EXISTS_NOT_PUBLISHED,publish named resource/time query contracts with correction boundary explicit,trading_system_read_path_owner
E5_PERFORMANCE_HISTORY_READ,account_equity_history|performance_snapshot,maximumDataAccountEquityHistoryV1+maximumDataPerformanceSnapshotHistoryV1,profile_id plus account_id/deployment_id/instrument_id and timestamp keyset,opaque time keyset continuation across retained snapshots; restate semantics required,append snapshots by id and timestamp; replace only with explicit restate lineage,empty means no recorded snapshot; snapshot history is not an event/replay stream,EXISTS_NOT_PUBLISHED,publish scope-qualified cursor and valuation-mark provenance contract,trading_system_performance_owner
E5_PORTFOLIO_CAPITAL_DERIVATION,portfolio_capital,maximumDataPortfolioCapitalV1,profile_id plus portfolio_id and declared allocation/ledger/account inputs,bounded named input reads; no direct unscoped portfolio-equity snapshot,derived current view with raw input lineage and formula revision retained,empty means no recorded capital movement or allocation; stale input yields typed partial result,EXISTS_NOT_PUBLISHED,qualify named inputs and validate formula against source-owner oracle,portal_execution_edge_owner
E5_RECONCILIATION_OPERATIONAL_READ,reconciliation_findings|dead_letter_summary,maximumDataReconciliationFindingPageV1+maximumDataDeadLetterSummaryV1,profile_id plus finding_id or dead-letter id,opaque named keyset continuation; dead-letter payload never crosses the contract boundary,current lifecycle upsert by finding_id; redacted operational summary only,empty means no recorded finding or safe dead-letter metadata; acknowledgement evidence remains explicitly unavailable,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,qualify finding query plan and freeze dead-letter redaction allowlist,trading_system_operations_owner
E5_RESEARCH_ARTIFACT_LINKAGE,research_artifact,maximumDataResearchArtifactV1,deployment_id plus immutable research_run_id/artifact_id,immutable typed reference only; never storage path or arbitrary artifact retrieve,immutable reference append by artifact digest and deployment linkage,"absence means linkage is not published, not that research does not exist",OWNER_ACTION_REQUIRED,publish signed artifact metadata and immutable deployment-to-research-run linkage,trading_system_artifact_owner
E5_RISK_SIZING_EVIDENCE_READ,risk_grants|sizing_decisions,maximumDataRiskGrantPageV1+maximumDataSizingDecisionPageV1,profile_id plus risk_grant_id/sizing_decision_id and declared account/strategy scope,opaque named keyset continuation; no inferred signal-intent or correction stream,append retained decision evidence by immutable source identifier when source semantics permit,empty means no recorded decision; no decision is not evidence that risk was bypassed,EXISTS_BUT_NOT_SAFE_TO_EXPOSE,qualify named decision query plans and preserve source-owner event gaps,trading_system_read_path_owner
